attempt_ref,NU_B1_001,NU_B1_002,NU_B1_003,NU_B1_004,NU_B1_005,NU_B1_006,NU_B1_007,NU_B1_008,NU_B1_009,NU_B1_010,NU_B1_011,NU_B1_012,NU_B1_013,NU_B1_014,NU_B1_015,NU_B1_016,NU_B1_017,NU_B1_018,NU_B1_019,NU_B1_020,NU_B1_021,NU_B1_022,NU_B1_023,NU_B1_024,NU_B1_025,NU_B1_026,NU_B1_027,NU_B1_028,NU_B1_029,NU_B1_030,NU_B1_031,NU_B1_032,NU_B1_033,NU_B1_034,NU_B1_035,NU_B1_036,NU_B1_037,NU_B1_038,NU_B1_039,NU_B1_040,NU_B1_041,NU_B1_042,NU_B1_043,NU_B1_044,NU_B1_045,NU_B1_046,NU_B1_047,NU_B1_048,NU_B1_049,NU_B1_050,NU_B1_051,NU_B1_052,NU_B1_053,NU_B1_054,NU_B1_055,NU_B1_056,NU_B1_057,NU_B1_058,NU_B1_059,NU_B1_060
synthetic-0104,4,3,3,3,4,3,4,1,2,3,4,3,2,4,4,4,3,2,5,2,4,3,3,3,3,3,3,3,2,3,5,3,4,2,3,2,4,2,3,1,3,3,5,3,4,,3,3,1,4,2,2,1,2,4,3,3,4,3,4
synthetic-0105,3,3,2,5,1,3,3,5,1,4,2,4,3,1,1,1,2,1,3,3,3,4,3,1,2,1,4,1,3,4,5,3,2,5,2,,4,5,1,4,5,5,3,5,4,4,4,5,,5,1,1,4,1,5,1,3,1,5,4
synthetic-0106,4,1,2,3,4,3,2,5,4,2,3,4,3,2,1,2,5,3,2,5,2,5,4,4,4,5,3,2,2,5,4,2,4,4,5,2,1,3,3,1,2,1,4,3,4,2,1,5,3,2,3,5,4,1,4,2,5,2,5,2
synthetic-0107,3,4,3,,1,1,,3,2,3,1,3,2,4,5,4,2,,5,3,,1,4,1,4,5,3,4,4,4,2,4,4,3,,1,4,2,3,3,2,2,4,3,1,1,2,3,2,3,5,5,3,3,5,5,2,,5,2
synthetic-0108,3,4,1,5,4,4,,4,4,4,5,3,4,1,1,4,3,3,1,1,4,2,5,2,3,3,2,3,3,1,5,3,4,5,5,4,3,5,1,4,3,3,2,4,2,4,3,5,3,3,3,3,4,1,2,2,3,3,1,3
synthetic-0109,2,2,3,2,4,3,3,4,4,,3,4,4,3,2,4,3,4,4,4,3,3,4,1,1,4,4,2,1,4,1,4,2,3,4,1,2,3,2,1,3,2,2,3,5,2,4,3,3,4,4,2,3,2,1,5,3,2,2,4
synthetic-0110,3,5,3,3,,2,4,3,4,2,4,2,5,3,4,3,2,3,5,5,3,2,2,2,5,4,2,3,5,3,2,2,2,3,1,1,3,3,1,5,4,5,3,3,3,2,2,4,2,3,3,4,1,1,5,3,3,4,3,3
synthetic-0111,5,2,3,2,1,1,3,2,1,4,4,4,2,5,3,1,,5,3,1,2,3,3,4,5,3,2,3,3,3,3,4,3,2,1,4,4,1,4,3,3,3,2,1,1,2,4,4,2,4,3,4,4,3,5,1,1,3,2,1
synthetic-0112,2,1,4,1,3,3,1,,3,3,1,4,4,3,3,5,4,3,2,4,5,4,3,4,5,2,2,3,3,4,2,3,4,1,3,2,3,1,2,4,2,2,3,2,4,4,3,5,2,4,3,4,5,4,4,4,3,5,4,5
synthetic-0113,2,3,3,2,5,3,2,4,3,2,3,4,3,2,1,2,1,2,2,4,3,1,4,3,1,4,3,2,1,4,3,4,1,4,4,3,3,5,5,2,4,4,2,2,3,4,4,4,3,3,5,2,4,4,4,5,2,1,2,4
synthetic-0114,3,3,1,3,1,4,4,5,1,2,5,5,4,3,2,3,2,2,5,4,3,4,5,1,5,5,1,1,4,1,3,2,1,4,2,1,4,4,1,2,4,2,2,3,1,4,1,5,2,2,3,3,5,4,3,5,3,1,5,4
synthetic-0115,5,3,1,2,3,4,2,2,4,2,1,2,2,5,2,3,3,3,4,4,2,3,3,5,3,3,,4,2,5,5,2,2,3,3,5,4,1,3,3,4,2,4,3,2,3,3,4,3,3,2,4,1,5,3,1,4,3,2,3
synthetic-0116,4,2,4,2,2,2,4,1,5,2,4,,5,5,3,2,4,2,1,2,1,2,4,2,3,2,4,4,4,2,5,3,5,3,2,5,5,3,3,5,3,5,4,1,3,4,4,2,3,4,5,,2,4,2,2,3,2,3,2
synthetic-0117,5,4,1,4,2,2,3,5,2,1,3,4,5,1,2,5,4,1,4,4,2,3,4,3,1,3,3,2,5,3,4,4,3,5,2,4,2,5,2,1,3,1,4,5,2,3,1,4,1,4,4,5,4,1,3,2,5,2,4,5
synthetic-0118,,2,3,3,2,3,2,5,4,1,5,5,1,,4,3,2,2,4,3,3,5,2,2,3,2,5,5,4,3,2,1,3,3,2,3,2,4,4,3,2,1,3,3,2,2,1,2,2,1,2,5,,3,4,3,4,3,4,4
synthetic-0119,5,3,2,5,3,3,5,4,2,5,2,2,4,3,4,3,1,3,4,3,3,4,,,3,4,2,2,4,2,1,2,4,4,2,4,5,2,2,3,1,2,3,5,3,3,5,2,1,4,4,3,2,3,1,3,1,3,3,1
synthetic-0120,5,2,4,3,4,4,2,4,3,,3,4,3,3,3,1,1,4,3,1,2,4,2,,3,2,2,1,3,2,3,3,4,2,2,3,1,4,3,4,5,3,5,,3,4,4,4,,3,3,4,1,3,2,1,1,2,2,3
synthetic-0121,2,4,,2,,4,4,2,2,3,3,3,4,3,5,4,4,3,3,4,2,4,3,3,3,4,4,,4,4,2,3,1,2,,1,,2,2,2,3,4,2,2,2,3,2,,1,2,4,2,,4,5,5,,3,5,4
synthetic-0122,5,2,1,2,2,3,2,4,3,3,1,3,4,4,4,3,4,3,4,5,3,5,5,3,2,1,1,3,5,3,3,4,1,4,1,,1,4,2,1,3,3,4,3,3,4,2,5,1,3,3,2,4,3,2,2,2,1,3,4
synthetic-0123,3,3,1,5,1,3,5,4,5,5,3,4,4,2,3,3,3,3,2,2,4,3,5,3,3,3,4,4,2,4,5,4,2,2,2,3,3,3,4,2,4,4,1,4,2,4,2,2,4,3,1,,5,4,4,3,3,4,4,1
synthetic-0124,3,4,5,4,2,4,5,2,4,5,3,2,1,3,4,2,2,2,1,3,2,4,2,4,4,2,2,5,4,2,5,2,5,3,,4,,3,5,3,4,4,4,2,3,2,4,3,4,,3,,2,4,4,4,2,3,3,3
synthetic-0125,1,4,3,4,4,2,3,4,5,4,4,3,3,4,2,3,3,1,3,4,2,3,3,5,1,5,3,2,3,2,4,4,3,3,4,1,4,3,4,4,2,4,2,2,4,1,1,2,4,4,3,,3,4,1,5,4,4,2,2
synthetic-0126,1,3,3,4,5,3,4,2,4,2,2,4,3,3,2,2,1,3,1,2,1,1,3,3,2,2,2,3,1,3,2,3,5,4,3,3,4,2,,4,3,3,3,3,4,3,4,3,3,3,2,2,3,1,3,3,2,3,3,1
synthetic-0127,3,5,2,2,3,5,5,3,,2,4,2,4,3,1,4,1,4,1,,1,4,3,2,1,3,2,3,3,3,4,4,3,4,5,4,5,2,5,4,5,4,2,2,4,4,5,4,5,5,2,2,4,3,1,4,2,4,1,3
synthetic-0128,2,2,4,5,1,1,2,3,1,3,2,2,1,1,5,3,2,4,5,3,1,2,4,3,5,5,4,3,5,,2,2,3,2,1,2,3,3,2,2,2,2,5,5,2,1,5,4,1,4,2,3,3,2,3,4,3,3,5,
synthetic-0129,,4,4,3,2,1,4,4,2,3,5,3,2,3,4,5,3,2,4,1,3,2,1,2,2,5,3,2,5,4,1,3,5,4,2,1,4,1,3,2,1,3,4,3,2,1,2,3,4,2,4,4,1,2,4,5,3,2,,5
synthetic-0130,3,2,3,4,4,1,2,3,3,3,,3,5,3,3,4,1,4,2,1,4,3,5,4,,3,1,3,3,1,2,4,2,4,3,3,3,2,4,5,2,5,2,3,2,1,5,2,3,4,4,4,4,3,1,3,2,4,3,1
synthetic-0131,5,3,5,2,1,3,3,3,2,4,,2,1,3,5,2,2,3,2,3,1,3,3,4,5,1,2,2,5,1,3,4,3,3,1,5,4,3,1,4,5,4,3,5,2,5,4,3,1,5,2,3,1,4,4,1,1,2,5,3
synthetic-0132,3,2,4,2,3,1,2,4,4,1,5,2,5,2,2,4,5,3,2,2,4,3,2,2,3,5,3,3,2,5,2,4,3,3,4,1,3,3,4,1,3,3,4,3,4,1,2,4,3,2,2,5,1,3,2,5,4,3,2,4
synthetic-0133,4,3,4,2,3,4,1,4,4,3,2,3,4,3,3,3,3,1,3,3,1,4,3,4,4,1,4,2,3,3,5,3,2,,2,4,,5,1,3,5,3,3,3,1,5,2,2,2,1,3,5,1,3,2,,2,3,3,4
synthetic-0134,2,2,2,2,1,1,3,5,5,5,5,2,2,3,5,5,3,1,3,5,5,3,4,2,3,3,2,2,1,2,2,5,4,4,4,1,2,4,3,3,2,5,3,4,2,2,4,5,4,4,4,1,3,4,3,3,4,2,5,3
synthetic-0135,2,4,4,2,5,2,5,3,1,,4,1,2,3,2,5,2,2,5,1,3,1,1,2,2,5,3,3,3,2,2,5,5,5,5,1,5,3,2,4,4,4,2,3,2,2,2,3,2,5,4,2,2,2,3,5,1,3,4,2
synthetic-0136,4,5,4,2,4,4,4,2,3,,5,1,2,4,4,4,1,5,2,1,,,3,4,2,3,2,3,3,1,3,5,3,1,4,2,4,1,3,5,4,4,3,3,5,3,4,1,2,4,2,1,2,4,3,,1,,3,1
synthetic-0137,3,4,5,4,4,1,5,4,4,3,4,2,1,1,2,1,4,1,3,2,3,4,1,2,2,4,5,2,3,3,4,2,5,3,4,2,5,4,3,3,3,5,5,5,3,2,4,5,,4,3,3,1,1,4,4,5,1,3,1
synthetic-0138,4,2,1,4,2,2,3,5,3,2,4,3,5,1,5,4,4,1,5,3,5,3,5,3,4,3,2,2,5,1,2,3,2,4,3,2,2,5,1,4,2,4,1,4,3,1,2,5,2,3,3,4,5,2,3,4,3,1,3,4
synthetic-0139,5,3,5,2,1,4,4,5,2,3,4,2,2,2,5,2,4,4,5,3,2,4,4,2,4,2,2,4,4,2,4,1,,2,3,4,5,3,4,4,3,2,1,1,1,4,3,1,2,3,1,4,,3,5,4,3,3,5,3
synthetic-0140,2,,4,4,,1,4,1,1,4,4,4,2,4,5,4,1,1,3,1,3,2,2,3,4,4,1,,4,2,3,4,4,1,2,2,5,2,3,5,2,2,3,4,3,4,4,3,2,4,3,2,2,3,5,4,2,3,3,2
synthetic-0141,3,3,3,4,3,4,4,3,4,3,3,3,2,2,3,,3,5,3,3,1,3,2,3,2,3,3,2,2,3,4,3,3,3,3,5,3,3,4,3,2,4,1,3,2,4,3,3,2,4,3,3,3,1,3,3,2,5,2,3
synthetic-0142,4,4,3,3,5,4,3,5,5,4,4,5,4,2,2,4,4,2,1,1,5,3,4,3,2,3,2,1,2,2,2,3,2,4,5,4,4,2,5,2,3,3,3,5,5,4,3,5,5,4,3,3,5,4,3,2,3,1,1,2
synthetic-0143,3,3,1,2,2,5,4,1,1,2,1,1,4,4,,2,4,4,4,4,2,3,3,,5,3,3,2,4,3,4,5,1,2,2,4,4,1,4,3,5,4,1,2,2,3,4,3,2,3,1,1,5,,5,1,3,4,5,4
synthetic-0144,3,2,3,4,2,4,2,4,2,4,1,3,3,2,3,,3,,4,4,3,3,4,2,2,3,4,3,,2,4,3,3,4,5,3,1,4,1,5,4,2,1,3,4,2,2,4,2,4,2,5,4,1,3,3,5,1,3,3
synthetic-0145,2,5,5,3,,4,4,2,1,4,1,3,2,4,5,3,4,3,3,2,2,2,1,2,3,4,2,4,5,1,2,3,4,3,4,5,2,1,5,4,3,3,5,2,1,3,3,3,4,4,4,1,2,3,5,5,4,2,2,1
synthetic-0146,3,4,,5,4,1,5,5,4,3,3,3,1,1,2,4,3,2,2,5,4,2,2,1,4,3,2,1,3,3,3,4,3,5,4,3,5,4,3,4,1,4,5,4,3,2,3,3,5,5,4,2,2,1,4,3,2,2,3,4
synthetic-0147,4,5,5,4,5,3,2,1,1,5,1,1,2,4,2,4,2,5,1,1,2,2,2,2,1,3,3,5,4,2,4,,5,2,4,1,4,1,4,4,5,4,3,3,4,3,3,1,4,4,2,3,1,4,3,2,3,4,1,1
synthetic-0148,3,4,1,3,3,5,3,4,3,2,2,1,5,4,2,1,1,3,2,3,3,3,4,3,3,1,1,1,4,3,4,3,2,4,2,,4,4,2,4,2,4,2,3,3,5,3,5,2,3,3,1,4,3,2,1,2,1,2,5
synthetic-0149,3,4,5,3,2,2,2,3,1,2,3,3,1,3,,3,,4,3,4,,2,1,3,3,5,4,4,3,2,2,5,5,3,1,3,3,3,2,4,3,5,5,5,3,1,4,4,2,4,3,2,1,4,3,4,4,5,3,2
synthetic-0150,1,2,3,2,4,2,2,3,1,4,5,4,1,4,5,4,2,4,5,2,4,3,2,4,2,4,2,4,3,2,2,3,5,2,2,1,4,1,2,4,3,3,4,1,4,1,4,1,3,3,5,2,2,4,2,5,2,4,3,3
synthetic-0151,3,4,5,4,3,,1,2,2,2,3,4,2,3,1,3,3,5,1,4,3,3,2,3,1,3,4,3,,4,2,5,5,3,4,3,3,3,3,3,3,3,3,2,5,2,2,3,2,3,3,3,1,4,2,4,3,3,2,5
synthetic-0152,2,2,2,4,3,5,,2,4,4,4,3,4,2,4,4,4,3,4,2,4,,4,2,2,3,2,5,5,,3,1,3,4,3,2,2,3,2,2,2,3,2,1,2,4,3,3,2,2,5,4,4,3,1,2,3,5,2,4
synthetic-0153,,4,5,3,,4,5,3,2,5,5,1,1,3,4,1,2,3,5,1,3,1,2,2,3,4,2,1,2,1,4,4,5,3,3,4,5,5,3,5,2,5,4,3,2,3,5,3,3,5,3,2,1,1,5,3,3,1,3,2
synthetic-0154,4,3,4,4,3,4,3,3,3,1,1,2,4,3,3,3,5,4,3,5,2,4,3,3,5,4,4,3,,3,4,5,4,4,4,4,2,3,2,3,5,5,4,5,3,5,3,3,2,4,2,3,4,2,3,4,2,4,2,5
synthetic-0155,2,4,1,2,2,3,5,3,1,5,4,2,4,3,3,4,2,1,3,1,5,1,2,2,3,3,3,4,4,3,1,4,2,3,4,3,5,5,4,5,2,4,4,3,4,4,5,4,3,4,,1,4,4,2,2,2,4,4,2
synthetic-0156,4,4,1,4,4,4,5,3,4,2,2,3,2,2,1,2,2,1,1,3,2,4,2,2,2,,2,1,3,3,5,4,3,5,5,5,4,2,4,2,5,2,4,5,4,3,3,2,4,4,,1,3,5,1,2,,2,3,2
synthetic-0157,2,2,2,2,4,2,3,3,4,2,4,3,4,2,3,4,4,2,3,3,4,2,5,2,3,4,3,3,3,2,2,3,2,4,2,2,4,5,4,4,1,,2,3,5,1,4,5,3,4,4,2,5,3,1,4,2,3,3,3
synthetic-0158,1,4,4,5,2,3,5,3,3,4,,2,4,1,4,4,1,1,2,3,4,,1,1,5,,2,1,4,3,3,2,4,4,2,1,3,5,4,2,2,3,1,3,,2,4,3,3,3,3,4,4,1,3,4,4,1,4,2
synthetic-0159,3,5,5,4,1,1,4,4,4,4,4,1,2,1,3,5,3,3,4,4,4,2,4,3,4,4,4,5,3,2,4,5,4,4,3,1,3,3,2,3,2,5,4,,3,3,5,4,3,1,4,2,3,2,2,3,3,3,5,
synthetic-0160,4,4,3,4,5,3,5,1,4,3,3,2,4,3,3,1,2,5,1,2,2,2,3,2,2,4,2,3,1,4,3,,4,3,4,2,5,1,5,2,4,5,2,2,2,3,5,2,4,3,1,1,3,2,3,4,1,4,3,2
synthetic-0161,5,3,5,4,5,5,3,5,3,3,3,3,1,3,1,3,3,1,3,4,3,,1,1,1,1,4,3,2,3,4,3,5,4,5,4,3,4,4,3,5,1,4,4,5,4,3,3,5,3,1,2,2,1,1,2,3,4,1,4
synthetic-0162,3,2,4,2,4,2,4,1,3,1,3,3,3,5,3,4,2,3,4,4,,5,,5,4,5,4,4,4,,4,,3,1,3,,3,2,,2,3,3,4,1,1,3,3,1,4,1,4,3,2,4,4,4,4,2,4,5
synthetic-0163,2,3,3,5,3,2,4,5,4,4,1,3,3,2,2,4,3,1,2,,3,2,2,4,2,4,3,1,2,4,4,2,5,4,5,,3,5,4,3,1,1,3,3,4,2,3,3,3,3,2,2,3,2,3,3,1,2,1,3
synthetic-0164,3,3,2,2,3,4,5,4,2,4,,1,3,5,2,1,1,2,3,4,2,1,1,4,3,2,1,2,3,2,4,3,4,1,2,4,5,2,3,1,3,5,5,,3,5,5,1,3,4,1,2,2,3,4,3,2,3,4,3
synthetic-0165,3,4,2,4,5,2,3,3,2,2,3,1,1,3,2,3,4,3,1,2,3,,3,1,1,4,3,4,4,2,3,4,4,3,,2,2,,5,2,,2,4,5,5,2,2,1,4,5,5,3,3,3,1,5,4,5,2,1
synthetic-0166,2,3,3,,4,3,2,1,1,5,4,3,2,5,3,2,2,5,3,5,5,3,5,5,3,1,4,5,3,2,3,4,2,1,2,4,2,1,3,3,1,3,5,1,,2,4,1,3,3,4,3,4,,1,,4,4,4,4
synthetic-0167,2,2,1,2,1,1,4,3,1,,5,4,5,2,4,5,4,2,4,4,4,5,5,4,4,5,4,3,5,5,2,3,2,4,2,1,3,3,1,2,2,3,1,4,2,1,4,4,1,4,4,4,5,2,5,5,3,4,4,2
synthetic-0168,1,3,1,2,1,1,1,3,3,1,3,3,5,3,4,5,4,3,3,3,5,1,5,2,3,5,5,5,4,3,3,1,1,4,2,1,2,1,4,3,1,2,1,2,1,1,2,3,4,4,4,4,4,2,4,5,5,3,2,3
synthetic-0169,1,3,1,1,2,2,5,4,2,4,4,3,2,3,3,4,3,2,1,1,3,1,4,5,2,2,2,2,1,3,3,4,2,3,3,2,2,4,5,5,2,4,2,2,3,3,,3,5,4,3,2,4,4,5,5,4,3,2,1
synthetic-0170,1,3,2,3,2,2,4,1,2,4,4,5,4,4,2,4,2,5,3,2,5,5,5,4,3,3,5,4,3,1,1,2,3,2,4,4,2,1,2,5,2,3,2,2,,3,1,1,2,2,5,4,3,3,2,4,2,4,1,3
synthetic-0171,,2,2,4,5,3,4,3,1,2,5,5,5,3,2,4,5,1,1,3,5,5,5,3,1,3,3,3,2,2,1,2,1,5,5,2,3,2,2,3,2,2,3,3,3,3,3,3,4,4,5,4,4,1,2,5,4,1,,4
synthetic-0172,2,3,3,3,2,2,1,4,4,2,5,4,4,2,3,4,4,1,3,3,5,5,,3,4,4,4,2,2,5,3,2,1,5,,1,,5,4,1,3,2,,5,2,1,1,5,4,1,5,5,4,3,5,4,2,1,2,5
synthetic-0173,3,5,2,2,3,3,2,2,4,4,,2,5,3,3,,2,4,3,1,5,1,5,4,3,2,3,2,2,3,1,4,1,5,3,4,3,3,4,4,2,5,1,1,3,2,2,4,3,4,5,2,5,5,4,3,3,3,1,2
synthetic-0174,4,4,4,5,2,3,3,4,5,4,1,2,1,2,5,2,1,2,4,4,1,1,2,1,3,3,3,3,3,3,4,,5,5,5,4,4,4,3,4,4,5,4,5,,3,5,4,2,5,1,1,2,2,2,1,2,1,3,3
synthetic-0175,4,5,1,4,3,4,4,3,1,4,2,3,4,4,4,1,3,2,4,3,3,2,4,3,3,1,2,3,5,4,2,4,3,4,2,3,2,5,1,2,3,2,1,4,3,5,4,5,1,2,4,4,4,2,5,2,2,2,4,3
synthetic-0176,2,3,4,2,2,1,1,3,3,2,1,3,2,3,5,5,3,3,3,2,4,3,3,3,5,5,2,3,2,4,4,3,5,2,3,1,3,1,2,3,3,3,3,3,2,2,3,2,3,3,1,3,2,4,3,3,1,3,2,2
synthetic-0177,1,1,2,2,4,5,2,4,2,3,2,4,4,1,3,3,4,1,3,3,3,4,3,3,3,3,4,3,4,3,3,1,2,3,2,4,2,3,3,2,1,4,3,3,4,4,3,3,4,1,5,4,3,4,2,2,5,1,3,5
synthetic-0178,5,2,3,3,2,5,5,1,1,3,2,3,4,4,4,2,3,1,4,2,2,4,4,2,4,1,2,4,5,,4,2,2,3,1,5,5,2,2,4,3,2,4,3,1,5,5,2,1,3,4,4,4,4,5,1,2,3,4,4
synthetic-0179,4,2,2,2,3,,2,3,3,,1,3,4,4,3,1,2,5,2,4,3,1,3,5,2,1,5,5,4,4,5,3,3,1,2,5,4,2,1,2,3,2,3,3,2,5,3,2,2,3,2,3,5,5,,2,5,4,3,1
synthetic-0180,3,5,4,3,3,1,2,5,4,2,5,3,4,3,3,4,2,3,5,3,4,4,2,2,4,5,3,4,2,5,4,1,3,2,,1,4,5,4,2,1,4,2,5,3,1,2,4,1,1,3,2,1,4,5,5,2,2,4,5
synthetic-0181,4,3,,3,2,3,3,,3,3,4,3,3,2,1,5,3,4,4,4,5,2,3,3,5,4,4,3,4,3,1,3,3,3,1,1,3,3,3,4,2,4,2,5,1,2,4,2,,4,3,2,2,2,4,5,5,4,2,3
synthetic-0182,3,3,4,1,3,3,3,4,1,4,2,4,1,4,4,2,4,4,4,3,2,3,4,5,5,1,5,2,4,3,4,2,4,2,1,3,3,4,1,,3,1,4,3,1,4,2,2,5,4,1,3,2,3,4,3,5,2,1,3
synthetic-0183,5,2,2,3,2,3,2,2,3,3,3,4,3,5,3,2,2,2,1,,1,4,2,4,3,2,3,3,3,5,,2,4,3,3,3,4,5,4,5,3,3,3,4,,1,2,2,3,2,1,,2,3,5,4,4,5,1,5
synthetic-0184,3,5,4,4,2,4,3,5,2,4,4,1,2,3,5,1,3,1,4,1,3,2,3,2,3,2,2,1,5,3,5,5,5,5,2,3,4,5,2,4,4,4,4,4,1,4,3,5,2,4,2,1,2,1,3,3,1,1,5,3
synthetic-0185,5,3,3,4,4,5,1,4,5,2,2,2,4,4,3,3,2,2,1,3,2,3,5,1,2,2,1,2,2,4,5,1,3,4,5,2,4,3,5,3,5,2,2,2,2,5,5,2,5,2,2,2,3,4,2,1,2,2,2,4
synthetic-0186,5,3,4,2,2,3,1,2,4,3,3,4,1,2,3,4,3,2,3,3,4,2,2,5,3,2,2,5,4,3,4,3,5,3,3,3,3,4,1,4,5,2,3,2,2,3,5,2,3,3,1,4,2,3,3,2,3,5,5,4
synthetic-0187,3,5,2,3,5,2,5,,2,4,4,2,5,1,1,5,1,2,4,2,3,1,4,1,3,3,2,4,2,2,2,5,,4,3,2,5,1,,5,2,5,,4,3,2,5,4,2,,2,1,,3,4,5,2,2,4,1
synthetic-0188,2,2,2,,4,2,2,2,2,2,4,2,1,2,,3,5,3,,4,4,4,2,3,4,4,4,4,1,5,1,3,3,2,3,2,3,1,3,4,2,4,5,3,4,2,2,1,4,2,3,3,3,3,3,4,5,3,5,4
synthetic-0189,4,3,3,4,1,3,5,5,,5,1,3,2,3,4,3,1,1,1,1,3,1,4,1,2,2,1,2,4,2,4,4,2,2,4,3,5,4,3,2,4,5,3,3,2,4,5,5,4,5,2,3,4,2,3,2,1,1,3,2
synthetic-0190,3,2,,2,3,2,2,3,3,4,3,3,3,2,3,4,1,5,4,2,3,4,4,2,2,3,1,4,3,1,1,5,3,1,3,3,4,1,1,4,2,5,2,1,3,1,4,1,1,4,3,3,,3,3,3,3,5,5,1
synthetic-0191,4,2,,5,2,5,5,5,4,2,2,5,1,1,2,1,4,1,2,3,1,5,1,1,3,1,3,2,2,3,3,2,5,5,4,5,1,5,5,3,4,1,,5,3,5,3,2,2,4,,5,1,1,2,1,4,2,2,3
synthetic-0192,1,5,4,4,3,3,3,4,1,1,4,2,3,2,3,5,2,1,4,3,4,3,3,3,3,5,1,2,5,4,3,4,4,3,2,1,5,4,1,2,2,4,2,5,4,2,4,4,2,1,4,3,3,2,4,5,1,1,4,3
synthetic-0193,2,4,5,2,2,2,4,4,2,4,4,1,1,3,3,5,2,3,4,2,5,3,1,2,3,4,4,3,3,1,3,4,4,4,,2,2,3,1,4,1,3,5,2,3,2,4,3,1,5,4,2,1,3,4,3,3,1,4,2
synthetic-0194,,4,3,4,4,3,5,3,4,3,3,1,4,5,3,2,1,3,2,3,5,2,4,4,2,1,3,3,3,2,1,4,1,4,2,2,3,4,3,5,4,3,3,4,3,3,3,5,4,4,2,2,5,3,4,2,3,2,4,3
synthetic-0195,1,2,1,,1,4,5,,2,4,4,3,5,2,4,2,3,3,2,3,4,4,5,1,4,3,5,1,3,3,1,,1,2,2,3,3,4,3,2,2,4,2,5,1,3,5,3,,3,2,3,4,5,4,4,3,2,2,4
synthetic-0196,2,4,2,2,1,3,5,3,1,4,2,,3,4,4,4,2,2,3,2,4,2,1,5,1,4,2,1,4,3,5,4,4,2,4,2,,4,2,3,2,4,4,3,5,4,3,5,3,5,2,2,2,4,,3,2,3,4,2
synthetic-0197,2,2,1,3,5,3,5,5,4,3,4,1,3,4,1,4,5,1,2,3,5,2,,1,1,2,3,2,1,2,4,5,2,4,4,3,4,3,3,4,2,2,1,4,4,3,,4,3,2,,2,3,2,1,3,3,2,2,2
synthetic-0198,2,4,3,4,2,3,4,2,3,4,3,1,3,3,4,3,,2,4,1,3,1,3,2,4,4,1,2,2,1,5,4,2,5,4,4,,5,1,4,4,4,4,3,3,2,5,5,3,5,1,1,4,4,3,2,1,4,5,3
synthetic-0199,1,5,1,,4,3,3,3,1,3,4,2,4,1,4,3,2,1,3,3,3,1,5,3,5,2,1,4,2,1,3,4,1,3,2,3,4,3,2,5,2,3,1,4,1,3,3,3,2,3,5,3,5,1,,3,1,2,5,3
synthetic-0200,3,4,3,2,4,5,,3,3,4,1,4,5,5,3,2,3,4,2,2,2,3,5,4,3,2,1,4,2,2,4,3,1,3,4,3,3,1,3,3,4,3,1,3,2,5,3,2,5,4,3,3,5,5,3,3,4,3,2,1
synthetic-0201,5,3,1,1,4,5,4,2,4,4,2,,5,3,1,1,3,4,1,2,,3,,3,1,2,1,3,1,4,5,4,1,3,5,3,,3,4,4,5,2,2,4,5,4,4,3,4,4,3,5,4,4,,1,4,3,2,1
synthetic-0202,3,2,3,4,2,1,1,3,3,3,5,3,2,3,2,,2,2,4,4,5,4,3,4,4,4,2,2,4,4,2,3,3,5,1,4,5,4,1,1,3,3,3,4,2,1,2,3,5,3,4,3,2,1,5,3,3,2,3,3
synthetic-0203,1,2,3,5,2,2,2,4,3,3,4,5,1,4,1,5,3,2,1,4,4,4,3,2,4,5,3,1,2,4,2,2,3,5,3,2,2,3,3,1,1,2,4,4,4,1,2,4,4,1,4,4,4,3,4,5,3,1,2,3
synthetic-0204,4,3,4,4,3,3,3,1,5,2,4,5,2,3,2,1,3,3,1,4,5,3,2,4,2,3,2,3,2,3,3,2,3,2,2,3,3,3,4,3,3,2,3,2,5,3,3,4,,1,2,3,4,,1,2,3,3,3,5
synthetic-0205,4,1,2,3,3,3,2,1,4,2,3,5,4,4,3,4,3,3,3,2,4,5,5,5,4,4,2,3,2,4,3,2,2,4,3,2,2,4,5,1,4,1,1,2,4,2,3,3,3,2,1,5,4,4,3,2,3,2,4,4
synthetic-0206,1,4,3,5,3,3,4,4,3,3,5,1,3,2,3,4,2,2,3,4,2,1,4,4,4,4,3,1,4,2,1,4,3,4,4,3,4,4,2,1,,3,3,3,1,3,4,5,2,3,4,3,3,2,2,4,1,2,4,5
synthetic-0207,1,5,4,,5,2,5,2,,5,5,1,1,2,3,4,1,,1,1,5,2,2,2,2,4,1,4,1,1,1,4,5,5,3,3,4,2,5,4,2,5,5,,4,1,4,3,4,5,5,,3,2,1,5,2,3,1,1
synthetic-0208,2,2,4,4,4,2,3,3,3,3,3,3,1,1,3,4,,3,5,2,4,4,5,1,3,2,4,2,4,4,2,2,4,3,4,2,2,3,4,1,2,1,3,4,2,2,2,5,3,2,3,,4,1,2,3,3,4,4,5
synthetic-0209,5,5,4,4,1,4,4,2,,4,1,1,4,3,3,3,1,5,3,,3,1,4,2,3,2,1,1,4,,4,4,2,2,2,5,4,1,5,3,5,5,4,1,1,5,5,2,3,4,2,2,1,3,5,1,2,4,3,4
synthetic-0210,3,1,2,4,2,3,3,1,2,2,2,4,3,1,5,,3,4,4,3,3,4,2,3,4,1,3,2,4,5,5,4,2,3,1,3,1,2,1,3,4,3,3,3,3,5,2,3,1,3,1,3,4,5,4,3,2,4,,4
